scheme_id,name_en,name_hi,short_name,level,state,ministry,category,sub_category,scheme_type,min_age,max_age,gender,interest_rate,lock_in,benefit_summary,verification_status,official_url,recommendation_enabled,active,legacy
agri_up_kisan_dbt_001,UP Agriculture Department Farmer DBT Subsidies (Pardarsi Kisan Seva),उत्तर प्रदेश पारदर्शी किसान सेवा पोर्टल अनुदान,UP Kisan DBT,state,Uttar Pradesh,"Department of Agriculture, Government of Uttar Pradesh",AGRICULTURE,"Seed, fertilizer & implement subsidy",SUBSIDY,,,all,,,"Direct subsidy transfer on certified seeds (up to 50%), agricultural implements, solar pumps, and vermicompost for registered UP farmers.",VERIFIED,http://upagriculture.com/,True,True,False
agri_up_kisan_durghatna_001,UP Mukhyamantri Krishak Durghatna Kalyan Yojana,उत्तर प्रदेश मुख्यमंत्री कृषक दुर्घटना कल्याण योजना,UP Krishak Durghatna,state,Uttar Pradesh,"Board of Revenue / Agriculture Department, Government of Uttar Pradesh",AGRICULTURE,Farmer accident compensation,SOCIAL_ASSISTANCE,18,70,all,,,"Financial assistance of Rs 5 lakh to the family in case of accidental death or permanent disability of farmer, sharecropper (bataidar), or farm labourer.",VERIFIED,http://upagriculture.com/,True,True,False
agri_tn_uzhavan_app_001,Tamil Nadu Uzhavan App & Farmer Subsidies,तमिलनाडु उझवन किसान सब्सिडी योजनाएं,Uzhavan TN,state,Tamil Nadu,"Department of Agriculture and Farmers Welfare, Government of Tamil Nadu",AGRICULTURE,Farmer input & machinery assistance,SUBSIDY,,,all,,,"Unified single-window portal providing subsidies for certified seeds, farm machinery (50%), micro-irrigation (100% for SF/MF), and crop insurance.",VERIFIED,https://www.tnagrisnet.tn.gov.in/,True,True,False
agri_tn_kalaignar_all_village_001,Kalaignar All Village Integrated Agriculture Development Programme,कलाईनार सर्व ग्राम एकीकृत कृषि विकास कार्यक्रम (तमिलनाडु),KAVIADP TN,state,Tamil Nadu,"Department of Agriculture and Farmers Welfare, Government of Tamil Nadu",AGRICULTURE,Village-level agri conversion & support,COMMUNITY_SUPPORT,,,all,,,"Village-level convergence scheme bringing fallow land into cultivation, distributing saplings, micro-irrigation, and solar pumps across all TN village panchayats.",VERIFIED,https://www.tnagrisnet.tn.gov.in/,True,True,False
agri_ts_rythu_bandhu_001,Telangana Rythu Bandhu (Agriculture Investment Support Scheme),तेलंगाना रायथु बंधु योजना,Rythu Bandhu,state,Telangana,"Department of Agriculture, Government of Telangana",AGRICULTURE,Direct farm investment support,CASH_TRANSFER,,,all,,,"Direct cash assistance of Rs 10,000 per acre per year (Rs 5,000 per crop season) to patta-holder farmers for purchasing farm inputs.",VERIFIED,https://rythubandhu.telangana.gov.in/,True,True,False
agri_ts_rythu_bima_001,Telangana Rythu Bima (Farmers Group Life Insurance Scheme),तेलंगाना रायथु बीमा योजना,Rythu Bima,state,Telangana,"Department of Agriculture, Government of Telangana",AGRICULTURE,Farmer life insurance,INSURANCE,18,59,all,,,100% government-funded life insurance cover of Rs 5 lakh to the designated nominee of enrolled farmer upon death from any cause.,VERIFIED,http://rythubima.telangana.gov.in/,True,True,False
agri_ap_rythu_bharosa_001,Andhra Pradesh YSR Rythu Bharosa,आंध्र प्रदेश वाईएसआर रायथु भरोसा,YSR Rythu Bharosa,state,Andhra Pradesh,"Department of Agriculture, Government of Andhra Pradesh",AGRICULTURE,Input assistance for farmers & tenant farmers,CASH_TRANSFER,,,all,,,"Financial assistance of Rs 13,500 per year (including PM-KISAN) provided in three instalments to landowning and eligible tenant farmer families.",VERIFIED,https://ysrrythubharosa.ap.gov.in/,True,True,False
agri_odisha_kalia_001,Odisha KALIA Scheme (Krushak Assistance for Livelihood and Income Augmentation),ओडिशा कालिया योजना,KALIA Odisha,state,Odisha,"Department of Agriculture and Farmers' Empowerment, Government of Odisha",AGRICULTURE,Comprehensive farmer & landless labourer support,CASH_TRANSFER,,,all,,,"Direct financial assistance of Rs 10,000 per family for small/marginal farmers, and Rs 12,500 for landless agricultural households for allied activities.",VERIFIED,https://kalia.odisha.gov.in/,True,True,False
agri_wb_krishak_bandhu_001,West Bengal Krishak Bandhu Scheme,पश्चिम बंगाल कृषक बंधु योजना,Krishak Bandhu,state,West Bengal,"Department of Agriculture, Government of West Bengal",AGRICULTURE,Assured income support & death benefit,CASH_TRANSFER,18,60,all,,,"Assured annual financial assistance of up to Rs 10,000 per year (min Rs 4,000 for 1 acre or less) plus Rs 2 lakh death benefit for farmer families.",VERIFIED,https://krishakbandhu.wb.gov.in/,True,True,False
agri_mp_kisan_kalyan_001,Madhya Pradesh Mukhya Mantri Kisan Kalyan Yojana,मध्य प्रदेश मुख्यमंत्री किसान कल्याण योजना,CM Kisan Kalyan MP,state,Madhya Pradesh,"Farmer Welfare and Agriculture Development Department, Government of MP",AGRICULTURE,State top-up income support,CASH_TRANSFER,,,all,,,"State cash top-up of Rs 6,000 per year in two equal instalments to all PM-KISAN beneficiary farmers in Madhya Pradesh (total Rs 12,000/year).",VERIFIED,https://saara.mp.gov.in/,True,True,False
agri_guj_ikhedut_001,Gujarat i-Khedut Portal Agricultural Schemes,गुजरात आई-खेड़ूत पोर्टल कृषि योजनाएं,i-Khedut Gujarat,state,Gujarat,"Department of Agriculture, Farmers Welfare & Co-operation, Government of Gujarat",AGRICULTURE,Comprehensive farmer DBT subsidies,SUBSIDY,,,all,,,"Comprehensive single-window portal offering subsidies on tractors, power tillers, solar fencing, underground pipelines, and organic inputs in Gujarat.",VERIFIED,https://ikhedut.gujarat.gov.in/,True,True,False
agri_kar_fruits_portal_001,Karnataka FRUITS Portal & Farmer Benefit Schemes,कर्नाटक फ्रूट्स पोर्टल किसान योजनाएं,FRUITS Karnataka,state,Karnataka,"Department of Agriculture, Government of Karnataka",AGRICULTURE,Farmer database and DBT delivery,SUBSIDY,,,all,,,"Farmer Registration and Unified Beneficiary Information System delivering direct input subsidies, Krishi Bhagya farm ponds, and mechanisation grants.",VERIFIED,https://fruits.karnataka.gov.in/,True,True,False
hlth_pmabhim_001,PM Ayushman Bharat Health Infrastructure Mission,पीएम आयुष्मान भारत स्वास्थ्य अवसंरचना मिशन,PM-ABHIM,central,,Ministry of Health and Family Welfare,HEALTH,Critical care & public health infrastructure,HEALTH_COVER,,,all,,,"Nationwide scheme establishing integrated public health labs, critical care hospital blocks in all districts, and strengthening disease surveillance.",VERIFIED,https://abhim.nhp.gov.in/,True,True,False
hlth_jan_aushadhi_001,Pradhan Mantri Bhartiya Janaushadhi Pariyojana,प्रधानमंत्री भारतीय जनऔषधि परियोजना,PMBJP,central,,Ministry of Chemicals and Fertilizers,HEALTH,Affordable generic medicines,SUBSIDY,,,all,,,"Provides quality generic medicines and surgical items at 50% to 90% cheaper rates than branded market prices through 10,000+ dedicated Kendras.",VERIFIED,http://janaushadhi.gov.in/,True,True,False
hlth_nikshay_poshan_001,Nikshay Poshan Yojana (NTEP),निक्षय पोषण योजना (टीबी पोषण सहायता),Nikshay Poshan,central,,Ministry of Health and Family Welfare,HEALTH,Nutritional support for TB patients,CASH_TRANSFER,,,all,,,Direct Benefit Transfer of Rs 500 per month for the entire duration of anti-tubercular treatment to support nutritional requirements of TB patients.,VERIFIED,https://nikshay.in/,True,True,False
hlth_jsy_001,Janani Suraksha Yojana,जननी सुरक्षा योजना,JSY,central,,Ministry of Health and Family Welfare,HEALTH,Safe institutional delivery cash incentive,CASH_TRANSFER,,,female,,,"Conditional cash transfer of Rs 1,400 (rural) and Rs 1,000 (urban) to mothers in low-performing states upon institutional delivery in public facilities.",VERIFIED,https://nhm.gov.in/,True,True,False
hlth_jssk_001,Janani Shishu Suraksha Karyakram,जननी शिशु सुरक्षा कार्यक्रम,JSSK,central,,Ministry of Health and Family Welfare,HEALTH,Zero out-of-pocket delivery & newborn care,SERVICES,,,female,,,"Completely free, cashless delivery (including C-section), free drugs, diagnostics, diet, and free transport to and from public health facilities.",VERIFIED,https://nhm.gov.in/,True,True,False
hlth_rbsk_001,Rashtriya Bal Swasthya Karyakram,राष्ट्रीय बाल स्वास्थ्य कार्यक्रम,RBSK,central,,Ministry of Health and Family Welfare,HEALTH,Child health screening & early intervention,SERVICES,0,18,all,,,"Comprehensive screening of children from birth to 18 years for 4Ds (Defects at birth, Diseases, Deficiencies, Development delays) with free treatment and surgical management.",VERIFIED,https://rbsk.gov.in/,True,True,False
hlth_pmsma_001,Pradhan Mantri Surakshit Matritva Abhiyan,प्रधानमंत्री सुरक्षित मातृत्व अभियान,PMSMA,central,,Ministry of Health and Family Welfare,HEALTH,Free assured antenatal care on 9th of every month,SERVICES,,,female,,,"Guaranteed, free, high-quality comprehensive antenatal check-up (ANC) including ultrasound, blood tests, and specialist examination on 9th of every month.",VERIFIED,https://pmsma.nhp.gov.in/,True,True,False
hlth_abdm_001,Ayushman Bharat Digital Mission (ABHA Card),आयुष्मान भारत डिजिटल मिशन (आभा कार्ड),ABDM,central,,Ministry of Health and Family Welfare,HEALTH,Digital health account & interoperable records,SERVICES,,,all,,,"Creates a 14-digit unique Ayushman Bharat Health Account (ABHA) enabling seamless digital sharing of lab reports, prescriptions, and medical history with consent.",VERIFIED,https://abdm.gov.in/,True,True,False
hlth_mission_indradhanush_001,Intensified Mission Indradhanush (IMI 5.0),सघन मिशन इंद्रधनुष (टीकाकरण अभियान),IMI,central,,Ministry of Health and Family Welfare,HEALTH,Universal full immunization for children & mothers,SERVICES,0,5,all,,,Free nationwide vaccination drives providing protection against 12 vaccine-preventable diseases for unvaccinated and partially vaccinated children up to 5 years.,VERIFIED,https://nhm.gov.in/,True,True,False
hlth_dialysis_001,Pradhan Mantri National Dialysis Programme,प्रधानमंत्री राष्ट्रीय डायलिसिस कार्यक्रम,PMNDP,central,,Ministry of Health and Family Welfare,HEALTH,Free dialysis at district hospitals,SERVICES,,,all,,,Free hemodialysis and peritoneal dialysis services at District Hospital level for Below Poverty Line (BPL) kidney failure patients.,VERIFIED,https://nhm.gov.in/,True,True,False
hlth_tele_manas_001,Tele Mental Health Assistance and Networking Across States (Tele-MANAS),टेली-मानस (राष्ट्रीय मानसिक स्वास्थ्य हेल्पलाइन),Tele-MANAS,central,,Ministry of Health and Family Welfare,HEALTH,24x7 free mental health tele-counselling,SERVICES,,,all,,,24x7 toll-free national tele-mental health helpline (14416 / 1800-891-4416) providing multi-language psychiatric counselling and specialist tele-consultations.,VERIFIED,https://telemanas.mohfw.gov.in/,True,True,False
hlth_mah_mjpjay_001,Maharashtra Mahatma Jyotirao Phule Jan Arogya Yojana,महाराष्ट्र महात्मा ज्योतिराव फुले जन आरोग्य योजना,MJPJAY,state,Maharashtra,"Public Health Department, Government of Maharashtra",HEALTH,State universal cashless health insurance,HEALTH_COVER,,,all,,,"Cashless hospitalization cover of up to Rs 5 lakh per family per year for 1,356 medical and surgical procedures across empanelled hospitals in Maharashtra.",VERIFIED,https://www.jeevandayee.gov.in/,True,True,False
hlth_tn_cmchis_001,Chief Minister's Comprehensive Health Insurance Scheme (Tamil Nadu),मुख्यमंत्री व्यापक स्वास्थ्य बीमा योजना (तमिलनाडु),CMCHIS TN,state,Tamil Nadu,"Health and Family Welfare Department, Government of Tamil Nadu",HEALTH,State health insurance coverage,HEALTH_COVER,,,all,,,"Cashless health insurance cover up to Rs 5 lakh per family per year covering 1,090 surgical procedures, diagnostic tests, and critical care in Tamil Nadu.",VERIFIED,https://www.cmchistn.com/,True,True,False
hlth_raj_chiranjeevi_001,Mukhyamantri Ayushman Arogya Yojana (Formerly Chiranjeevi Scheme),मुख्यमंत्री आयुष्मान आरोग्य योजना (पूर्व में चिरंजीवी योजना),MAAY Rajasthan,state,Rajasthan,"Department of Medical, Health and Family Welfare, Government of Rajasthan",HEALTH,State universal cashless health assurance,HEALTH_COVER,,,all,,,Universal cashless inpatient medical insurance cover for secondary and tertiary medical treatments in empanelled government and private hospitals in Rajasthan.,VERIFIED,https://chiranjeevi.rajasthan.gov.in/,True,True,False
hlth_ap_aarogyasri_001,Dr. YSR Aarogyasri Scheme (Andhra Pradesh),डॉ वाईएसआर आरोग्यश्री योजना (आंध्र प्रदेश),Aarogyasri AP,state,Andhra Pradesh,"Health, Medical and Family Welfare Department, Government of AP",HEALTH,State end-to-end cashless medical treatment,HEALTH_COVER,,,all,,,Cashless medical treatment cover up to Rs 25 lakh per family for identified catastrophic illnesses and secondary/tertiary hospitalisations in Andhra Pradesh.,VERIFIED,https://aarogyasri.ap.gov.in/,True,True,False
hlth_wb_swasthya_sathi_001,West Bengal Swasthya Sathi Scheme,पश्चिम बंगाल स्वास्थ्य साथी योजना,Swasthya Sathi,state,West Bengal,"Department of Health and Family Welfare, Government of West Bengal",HEALTH,Universal cashless health smart card in female head's name,HEALTH_COVER,,,all,,,"Universal smart-card-based cashless basic health cover up to Rs 5 lakh per annum per family, issued in the name of the eldest female member of the household.",VERIFIED,https://swasthyasathi.gov.in/,True,True,False
hlth_odisha_bsky_001,Odisha Biju Swasthya Kalyan Yojana (BSKY / Gopabandhu Arogya),ओडिशा बीजू स्वास्थ्य कल्याण योजना,BSKY Odisha,state,Odisha,"Health and Family Welfare Department, Government of Odisha",HEALTH,Cashless hospital treatment with extra women cover,HEALTH_COVER,,,all,,,"Cashless secondary and tertiary healthcare coverage of Rs 5 lakh per family, with an enhanced limit of Rs 10 lakh for female members of the family.",VERIFIED,https://bsky.odisha.gov.in/,True,True,False
hlth_guj_ma_yojana_001,Mukhyamantri Amrutum 'MA' & MA Vatsalya Yojana (Gujarat),मुख्यमंत्री अमृतम 'मा' योजना (गुजरात),MA Yojana Gujarat,state,Gujarat,"Health and Family Welfare Department, Government of Gujarat",HEALTH,Tertiary care cashless hospitalization,HEALTH_COVER,,,all,,,"Cashless tertiary care hospitalisation cover up to Rs 5 lakh per family per year for catastrophic illnesses (cardiovascular, renal, neuro, burns, cancer) in Gujarat.",VERIFIED,https://www.magujarat.com/,True,True,False
hlth_up_mjan_arogya_001,UP Mukhyamantri Jan Arogya Yojana,उत्तर प्रदेश मुख्यमंत्री जन आरोग्य योजना,UP Jan Arogya,state,Uttar Pradesh,"Medical, Health and Family Welfare Department, Government of UP",HEALTH,State health cover for non-SECC vulnerable families,HEALTH_COVER,,,all,,,Provides Rs 5 lakh per family per year cashless treatment benefits to state-identified Antyodaya and vulnerable families not covered under PM-JAY SECC lists.,VERIFIED,http://sachis.up.gov.in/,True,True,False
hlth_ker_kasp_001,Karunya Arogya Suraksha Padhathi (KASP - Kerala),कारुण्या आरोग्य सुरक्षा पद्धति (केरल),KASP Kerala,state,Kerala,"Health and Family Welfare Department, Government of Kerala",HEALTH,State cashless health insurance,HEALTH_COVER,,,all,,,Comprehensive cashless health insurance cover up to Rs 5 lakh per family per year for secondary and tertiary care in empanelled hospitals in Kerala.,VERIFIED,https://sha.kerala.gov.in/,True,True,False
wmn_mssc_001,Mahila Samman Savings Certificate,महिला सम्मान बचत प्रमाण पत्र,MSSC,central,,Ministry of Finance,SAVINGS,Women fixed deposit certificate,SAVINGS,,,female,7.5% p.a. compounded quarterly,2 years,Two-year fixed deposit scheme offering a high guaranteed 7.5% p.a. interest rate for women and minor girls (account opened via guardian).,VERIFIED,https://www.indiapost.gov.in/Financial/pages/content/post-office-saving-schemes.aspx,True,True,False
wmn_ujjwala_001,Pradhan Mantri Ujjwala Yojana (Ujjwala 2.0),प्रधानमंत्री उज्ज्वला योजना (उज्ज्वला 2.0),PMUY,central,,Ministry of Petroleum and Natural Gas,WOMEN,Clean cooking LPG connection grant,SUBSIDY,18,,female,,,"Deposit-free LPG connection in the name of an adult woman of poor household, with free first refill, hotplate (stove), and targeted cylinder subsidy.",VERIFIED,https://www.pmuy.gov.in/,True,True,False
wmn_sakhi_niwas_001,Sakhi Niwas (Working Women Hostel Scheme),सखी निवास (कामकाजी महिला छात्रावास योजना),Sakhi Niwas,central,,Ministry of Women and Child Development,WOMEN,Safe urban working women accommodation,COMMUNITY_SUPPORT,18,,female,,,"Safe, secure, and affordable hostel accommodation with day care/creche facility for children of working women in urban, semi-urban, and rural areas.",VERIFIED,https://wcd.nic.in/,True,True,False
wmn_one_stop_centre_001,One Stop Centre Scheme (Sakhi Centre),वन स्टॉप सेंटर (सखी केंद्र योजना),OSC Sakhi,central,,Ministry of Women and Child Development,WOMEN,Emergency support & crisis redressal,SERVICES,,,female,,,"Integrated single-window support providing emergency response, medical aid, legal assistance, psycho-social counselling, and temporary shelter (5 days) for women facing violence.",VERIFIED,https://wcd.nic.in/,True,True,False
wmn_poshan_2_001,Mission Saksham Anganwadi and Poshan 2.0,सक्षम आंगनवाड़ी एवं पोषण 2.0,Poshan 2.0,central,,Ministry of Women and Child Development,CHILD_WELFARE,Supplementary nutrition & early childhood education,SERVICES,0,6,all,,,"Supplementary nutrition, growth monitoring, preschool non-formal education, and immunization support delivered through nationwide Anganwadi Centres.",VERIFIED,https://poshanabhiyaan.gov.in/,True,True,False
chld_mission_vatsalya_001,Mission Vatsalya (Child Protection Services),मिशन वात्सल्य (बाल संरक्षण सेवा योजना),Mission Vatsalya,central,,Ministry of Women and Child Development,CHILD_WELFARE,"Care, protection & foster care sponsorship",SOCIAL_ASSISTANCE,0,18,all,,,"Institutional and non-institutional care (adoption, foster care, sponsorship of Rs 4,000/month per child) for children in difficult circumstances and distress.",VERIFIED,https://cara.wcd.gov.in/,True,True,False
chld_pm_cares_children_001,PM CARES for Children Scheme,पीएम केयर्स फॉर चिल्ड्रन योजना,PM CARES Children,central,,Ministry of Women and Child Development,CHILD_WELFARE,Comprehensive support for covid-orphaned children,SOCIAL_ASSISTANCE,0,23,all,,,"Rs 10 lakh corpus fund created in post office for each orphaned child maturing at age 23, free school/higher education admission, Rs 20,000 annual scholarship, and Ayushman Bharat health cover.",VERIFIED,https://pmcaresforchildren.in/,True,True,False
wmn_step_scheme_001,Support to Training and Employment Programme for Women (STEP),महिलाओं के लिए प्रशिक्षण एवं रोजगार सहायता कार्यक्रम (स्टेप),STEP Scheme,central,,Ministry of Women and Child Development,WOMEN,Skill training for self-employment,SKILL_DEVELOPMENT,16,,female,,,"Employability skill training in agriculture, horticulture, food processing, handlooms, tailoring, and IT to enable women to become self-employed or entrepreneurs.",VERIFIED,https://wcd.nic.in/,True,True,False
wmn_mahila_ehaat_001,Mahila E-Haat,महिला ई-हाट,Mahila E-Haat,central,,Ministry of Women and Child Development,WOMEN,Online marketing platform for women entrepreneurs,MARKETING_SUPPORT,,,female,,,"Bilingual direct online marketing platform for women entrepreneurs, artisans, and SHGs to display and sell products with zero fee or commission.",VERIFIED,http://mahilaehaat-rmk.gov.in/,True,True,False
wmn_mp_ladli_behna_001,Madhya Pradesh Mukhya Mantri Ladli Behna Yojana,मध्य प्रदेश मुख्यमंत्री लाड़ली बहना योजना,Ladli Behna MP,state,Madhya Pradesh,"Women and Child Development Department, Government of MP",WOMEN,Direct monthly cash transfer to adult women,CASH_TRANSFER,21,60,female,,,"Direct Benefit Transfer of Rs 1,250 per month into bank accounts of eligible adult women residents of Madhya Pradesh.",VERIFIED,https://cmladlibahna.mp.gov.in/,True,True,False
wmn_mah_ladki_bahin_001,Maharashtra Mukhyamantri Majhi Ladki Bahin Yojana,महाराष्ट्र मुख्यमंत्री माझी लाडकी बहीण योजना,Majhi Ladki Bahin,state,Maharashtra,"Women and Child Development Department, Government of Maharashtra",WOMEN,Direct monthly cash assistance for women,CASH_TRANSFER,21,65,female,,,"Direct cash assistance of Rs 1,500 per month deposited directly into bank accounts of eligible women aged 21 to 65 years residing in Maharashtra.",VERIFIED,https://ladakibahin.maharashtra.gov.in/,True,True,False
wmn_wb_kanyashree_001,West Bengal Kanyashree Prakalpa (K1 & K2),पश्चिम बंगाल कन्याश्री प्रकल्प,Kanyashree WB,state,West Bengal,"Department of Women and Child Development & Social Welfare, Government of WB",WOMEN,Conditional cash transfer for girl education & delaying marriage,CASH_TRANSFER,13,19,female,,,"Annual scholarship of Rs 1,000 for unmarried girls in Class 8-12 (K1) and a one-time grant of Rs 25,000 at age 18 (K2) if unmarried and continuing education.",VERIFIED,https://www.wbkanyashree.gov.in/,True,True,False
wmn_wb_lakshmir_bhandar_001,West Bengal Lakshmir Bhandar Scheme,पश्चिम बंगाल लखीर भंडार योजना,Lakshmir Bhandar,state,West Bengal,"Department of Women & Child Development and Social Welfare, Government of WB",WOMEN,Basic income support for female heads of families,CASH_TRANSFER,25,60,female,,,"Monthly basic income support of Rs 1,200 for SC/ST women and Rs 1,000 for other women who are female heads of families in West Bengal.",VERIFIED,https://socialsecurity.wb.gov.in/,True,True,False
wmn_up_kanya_sumangala_001,Uttar Pradesh Mukhya Mantri Kanya Sumangala Yojana,उत्तर प्रदेश मुख्यमंत्री कन्या सुमंगला योजना,Kanya Sumangala UP,state,Uttar Pradesh,"Women and Child Development Department, Government of Uttar Pradesh",WOMEN,Staged cash incentives from birth to graduation for girl child,CASH_TRANSFER,,,female,,,"Cash incentives of up to Rs 25,000 distributed in 6 phased stages from birth, vaccinations, Class 1, Class 6, Class 9 admission, to Degree/Diploma enrolment.",VERIFIED,https://mksy.up.gov.in/,True,True,False
wmn_raj_rajshree_001,Rajasthan Mukhyamantri Rajshree Yojana,राजस्थान मुख्यमंत्री राजश्री योजना,Rajshree Rajasthan,state,Rajasthan,"Women and Child Development Department, Government of Rajasthan",WOMEN,Staged cash grant for girl child birth & education,CASH_TRANSFER,,,female,,,"Financial assistance of up to Rs 50,000 in 6 instalments to parents of girl children born in government hospitals, linked with immunization, Class 1, 6, 10, and 12 schooling.",VERIFIED,https://wcd.rajasthan.gov.in/,True,True,False
wmn_tn_pudhumai_penn_001,Moovalur Ramamirtham Ammaiyar Higher Education Assurance Scheme (Pudhumai Penn - TN),पुधुमै पेन उच्च शिक्षा योजना (तमिलनाडु),Pudhumai Penn TN,state,Tamil Nadu,"Social Welfare and Women Empowerment Department, Government of Tamil Nadu",WOMEN,Monthly stipend for girl students in higher education,CASH_TRANSFER,,,female,,,"Rs 1,000 per month deposited directly into bank accounts of girl students who studied in Government schools (Class 6-12) until they complete their UG degree/diploma.",VERIFIED,https://www.pudhumaipenn.tn.gov.in/,True,True,False
wmn_kar_bhagyalakshmi_001,Karnataka Bhagyalakshmi Scheme,कर्नाटक भाग्यलक्ष्मी योजना,Bhagyalakshmi KA,state,Karnataka,"Department of Women and Child Development, Government of Karnataka",WOMEN,BPL girl child endowment & insurance,SAVINGS,,,female,,,"Financial bond in the name of girl child born in BPL family maturing into substantial corpus at age 18, along with annual scholarships and health cover.",VERIFIED,https://dwcd.karnataka.gov.in/,True,True,False
wmn_bihar_kanya_utthan_001,Bihar Mukhyamantri Kanya Utthan Yojana,बिहार मुख्यमंत्री कन्या उत्थान योजना,Kanya Utthan Bihar,state,Bihar,"Social Welfare / Education Department, Government of Bihar",WOMEN,Cash reward from birth to graduation,CASH_TRANSFER,,,female,,,"Financial incentives from birth to graduation (including Rs 25,000 upon passing Class 12 unmarried and Rs 50,000 upon graduation for every girl student in Bihar).",VERIFIED,https://medhasoft.bih.nic.in/,True,True,False
hsg_pmay_clss_001,Credit Linked Subsidy Scheme (CLSS under PMAY),क्रेडिट लिंक्ड सब्सिडी स्कीम (पीएमएवाई),PMAY CLSS,central,,Ministry of Housing and Urban Affairs,HOUSING,Home loan interest subsidy for EWS/LIG/MIG,SUBSIDY,,,all,,,Upfront interest subsidy of up to 6.5% on home loans (saving up to Rs 2.67 lakh over loan tenure) for purchase or construction of pucca house.,VERIFIED,https://pmayuclap.gov.in/,True,True,False
hsg_arhc_001,Affordable Rental Housing Complexes (ARHCs),किफायती किराया आवास परिसर योजना,ARHCs,central,,Ministry of Housing and Urban Affairs,HOUSING,Affordable urban rental housing for migrants,HOUSING_ASSISTANCE,,,all,,,Converts government-funded vacant housing and encourages private/public entities to build affordable rental housing for urban migrants and poor near workplaces.,VERIFIED,http://arhc.mohua.gov.in/,True,True,False
hsg_svamitva_001,SVAMITVA Scheme (Survey of Villages and Mapping with Improvised Technology),स्वामित्व योजना (ग्रामीण आबादी भूमि सर्वेक्षण एवं अधिकार अभिलेख),SVAMITVA,central,,Ministry of Panchayati Raj,HOUSING,Rural property ownership cards (Sanad / Patta),SERVICES,,,all,,,Drone-based surveying of inhabited rural lands to issue official legal 'Property Cards' enabling villagers to use houses as financial collateral for bank loans.,VERIFIED,https://svamitva.nic.in/,True,True,False
hsg_amrut_001,Atal Mission for Rejuvenation and Urban Transformation (AMRUT 2.0),अमृत 2.0 (कायाकल्प एवं शहरी परिवर्तन के लिए अटल मिशन),AMRUT 2.0,central,,Ministry of Housing and Urban Affairs,HOUSING,Universal tap water and sewerage infrastructure,INFRASTRUCTURE,,,all,,,Provides universal piped drinking water supply coverage to all households across statutory towns and expands sewage/septage management.,VERIFIED,https://amrut.gov.in/,True,True,False
hsg_jal_jeevan_001,Jal Jeevan Mission (Har Ghar Jal),जल जीवन मिशन (हर घर जल योजना),JJM,central,,Ministry of Jal Shakti,HOUSING,Functional household tap connection in rural India,SERVICES,,,all,,,"Provides safe, potable piped drinking water through Individual Functional Household Tap Connections (FHTC) of 55 litres per capita per day to every rural home.",VERIFIED,https://jaljeevanmission.gov.in/,True,True,False
hsg_mah_mhada_001,MHADA Housing Lottery Scheme (Maharashtra),म्हाडा गृहनिर्माण सोडत योजना (महाराष्ट्र),MHADA Lottery,state,Maharashtra,"Housing Department, Government of Maharashtra",HOUSING,Affordable apartment lottery for EWS/LIG/MIG/HIG,HOUSING_ASSISTANCE,18,,all,,,"Computerized transparent lottery for high-quality, subsidized residential flats developed by MHADA in Mumbai, Pune, Konkan, and Nagpur regions.",VERIFIED,https://housing.mhada.gov.in/,True,True,False
hsg_mah_cidco_001,CIDCO Mass Housing Lottery Scheme (Navi Mumbai),सिडको महागृहनिर्माण सोडत (नवी मुंबई),CIDCO Housing,state,Maharashtra,"Urban Development Department, Government of Maharashtra",HOUSING,Mass housing apartments in Navi Mumbai,HOUSING_ASSISTANCE,18,,all,,,"Affordable multi-storey transit-oriented housing flats offered via lottery in Navi Mumbai nodes (Taloja, Kharghar, Dronagiri, Ulwe) with PMAY subsidy integration.",VERIFIED,https://lottery.cidcoindia.com/,True,True,False
hsg_delhi_dda_001,DDA Housing Scheme (Delhi Development Authority),डीडीए आवासीय योजना (दिल्ली विकास प्राधिकरण),DDA Housing,state,Delhi,Ministry of Housing and Urban Affairs / DDA,HOUSING,Urban freehold flats lottery & First-Come-First-Serve,HOUSING_ASSISTANCE,18,,all,,,"Freehold residential apartments in prime Delhi locations (Narela, Dwarka, Jasola, Rohini) through transparent online allotment and FCFS schemes.",VERIFIED,https://eservices.dda.org.in/,True,True,False
hsg_tn_tnhb_001,Tamil Nadu Housing Board (TNHB) Flat & Plot Schemes,तमिलनाडु हाउसिंग बोर्ड आवासीय योजना,TNHB Schemes,state,Tamil Nadu,"Housing and Urban Development Department, Government of Tamil Nadu",HOUSING,"Affordable plots, individual houses & flats",HOUSING_ASSISTANCE,21,,all,,,"Affordable housing plots and built-up apartments across Chennai, Coimbatore, Madurai, and other districts with transparent online booking.",VERIFIED,https://tnhb.tn.gov.in/,True,True,False
hsg_up_mukhyamantri_awas_001,UP Mukhyamantri Awas Yojana (Rural),उत्तर प्रदेश मुख्यमंत्री आवास योजना (ग्रामीण),UP CM Awas,state,Uttar Pradesh,"Rural Development Department, Government of Uttar Pradesh",HOUSING,100% state-funded pucca houses for deprived families,HOUSING_ASSISTANCE,,,all,,,Direct financial grant of Rs 1.20 lakh (plains) / Rs 1.30 lakh per family for constructing a pucca house with toilet and solar power for marginalized families left out of SECC lists.,VERIFIED,http://rd.up.nic.in/,True,True,False
